date,expiration,strike,type,bid,ask,mark,last,volume,open_interest,implied_volatility,delta,dte,spot
2022-06-13,2022-06-13,156.0,call,218.52,219.76,219.14,221.11,310,0,6.5513,0.99683,0,375.0
2022-06-13,2022-06-13,157.0,call,217.52,218.76,218.14,220.14,190,0,6.50252,0.99682,0,375.0
2022-06-13,2022-06-13,158.0,call,216.52,217.76,217.14,0.0,0,0,6.45375,0.99681,0,375.0
2022-06-13,2022-06-13,200.0,call,174.52,175.76,175.14,177.24,1,0,4.79525,0.99573,0,375.0
2022-06-13,2022-06-13,250.0,call,124.52,125.76,125.14,0.0,0,0,3.2148,0.99368,0,375.0
2022-06-13,2022-06-13,285.0,call,89.52,90.76,90.14,0.0,0,0,2.25873,0.99136,0,375.0
2022-06-13,2022-06-13,290.0,call,84.52,85.76,85.14,0.0,0,0,2.1319,0.99085,0,375.0
2022-06-13,2022-06-13,295.0,call,79.52,80.76,80.14,0.0,0,0,2.00507,0.99033,0,375.0
2022-06-13,2022-06-13,300.0,call,74.52,75.76,75.14,81.0,5,0,1.87825,0.98981,0,375.0
2022-06-13,2022-06-13,305.0,call,69.52,70.76,70.14,0.0,0,0,1.76118,0.98892,0,375.0
2022-06-13,2022-06-13,310.0,call,64.52,65.76,65.14,0.0,0,0,1.63435,0.98834,0,375.0
2022-06-13,2022-06-13,315.0,call,59.52,60.76,60.14,0.0,0,0,1.51728,0.9873,0,375.0
2022-06-13,2022-06-13,320.0,call,54.52,55.76,55.14,0.0,0,0,1.39045,0.98665,0,375.0
2022-06-13,2022-06-13,325.0,call,49.52,50.76,50.14,0.0,0,0,1.27338,0.9854,0,375.0
2022-06-13,2022-06-13,330.0,call,44.52,45.76,45.14,0.0,0,0,1.15631,0.98393,0,375.0
2022-06-13,2022-06-13,335.0,call,39.52,40.76,40.14,45.04,1,1,1.03924,0.98219,0,375.0
2022-06-13,2022-06-13,340.0,call,34.52,35.76,35.14,37.8,4,0,0.92217,0.98004,0,375.0
2022-06-13,2022-06-13,341.0,call,33.52,34.76,34.14,0.0,0,0,0.89291,0.98018,0,375.0
2022-06-13,2022-06-13,342.0,call,32.52,33.76,33.14,0.0,0,0,0.87339,0.97924,0,375.0
2022-06-13,2022-06-13,343.0,call,31.52,32.76,32.14,0.0,0,0,0.84413,0.97939,0,375.0
2022-06-13,2022-06-13,344.0,call,30.52,31.76,31.14,0.0,0,0,0.82461,0.97837,0,375.0
2022-06-13,2022-06-13,345.0,call,29.52,30.76,30.14,0.0,0,0,0.8051,0.97726,0,375.0
2022-06-13,2022-06-13,346.0,call,28.52,29.76,29.14,0.0,0,0,0.77583,0.9774,0,375.0
2022-06-13,2022-06-13,347.0,call,27.52,28.76,28.14,0.0,0,0,0.75632,0.97618,0,375.0
2022-06-13,2022-06-13,348.0,call,26.52,27.76,27.14,0.0,0,0,0.72706,0.97632,0,375.0
2022-06-13,2022-06-13,349.0,call,25.52,26.76,26.14,45.86,0,1,0.70754,0.97496,0,375.0
2022-06-13,2022-06-13,350.0,call,24.52,25.76,25.14,63.07,0,1,0.67828,0.9751,0,375.0
2022-06-13,2022-06-13,351.0,call,23.52,24.76,24.14,0.0,0,0,0.65876,0.97357,0,375.0
2022-06-13,2022-06-13,352.0,call,22.52,23.76,23.14,0.0,0,0,0.63925,0.97187,0,375.0
2022-06-13,2022-06-13,353.0,call,21.52,22.76,22.14,39.09,0,6,0.60999,0.97195,0,375.0
2022-06-13,2022-06-13,354.0,call,20.52,21.76,21.14,0.0,0,0,0.59047,0.97,0,375.0
2022-06-13,2022-06-13,355.0,call,19.52,20.76,20.14,22.7,4,3,0.56121,0.97003,0,375.0
2022-06-13,2022-06-13,356.0,call,18.52,19.76,19.14,0.0,0,0,0.54169,0.96776,0,375.0
2022-06-13,2022-06-13,357.0,call,17.52,18.76,18.14,23.01,4,2,0.51243,0.96772,0,375.0
2022-06-13,2022-06-13,358.0,call,16.52,17.76,17.14,39.97,0,0,0.49292,0.965,0,375.0
2022-06-13,2022-06-13,359.0,call,15.52,16.76,16.14,0.0,0,0,0.46365,0.96484,0,375.0
2022-06-13,2022-06-13,360.0,call,14.52,15.76,15.14,14.91,33,4,0.44414,0.96152,0,375.0
2022-06-13,2022-06-13,361.0,call,13.52,14.76,14.14,0.0,0,0,0.41487,0.96114,0,375.0
2022-06-13,2022-06-13,362.0,call,12.52,13.76,13.14,51.87,0,4,0.39536,0.95695,0,375.0
2022-06-13,2022-06-13,363.0,call,11.52,12.76,12.14,13.86,24,5,0.36609,0.95619,0,375.0
2022-06-13,2022-06-13,364.0,call,10.52,11.76,11.14,12.27,10,1,0.34658,0.95068,0,375.0
2022-06-13,2022-06-13,365.0,call,9.52,10.76,10.14,10.06,70,12,0.31731,0.94919,0,375.0
2022-06-13,2022-06-13,366.0,call,8.52,9.76,9.14,0.0,0,0,0.28804,0.94742,0,375.0
2022-06-13,2022-06-13,367.0,call,7.52,8.76,8.14,10.03,33,0,0.26853,0.93857,0,375.0
2022-06-13,2022-06-13,368.0,call,6.52,7.76,7.14,6.36,42,1,0.23926,0.93482,0,375.0
2022-06-13,2022-06-13,369.0,call,5.52,6.76,6.14,7.53,48,0,0.21,0.92989,0,375.0
2022-06-13,2022-06-13,370.0,call,4.52,5.76,5.14,4.8,1661,153,0.18073,0.92308,0,375.0
2022-06-13,2022-06-13,371.0,call,3.53,4.76,4.14,2.4,84,55,0.15146,0.91301,0,375.0
2022-06-13,2022-06-13,372.0,call,2.53,3.3,2.92,3.34,1607,0,0.01488,1.0,0,375.0
2022-06-13,2022-06-13,373.0,call,1.91,2.5,2.21,2.04,2768,2,0.11244,0.82003,0,375.0
2022-06-13,2022-06-13,373.0,put,0.01,0.02,0.01,0.01,82173,3537,0.0539,-0.0284,0,375.0
2022-06-13,2022-06-13,374.0,call,1.0,1.51,1.25,1.14,14877,4,0.08317,0.73263,0,375.0
2022-06-13,2022-06-13,374.0,put,0.03,0.04,0.04,0.04,121477,3240,0.04415,-0.12169,0,375.0
2022-06-13,2022-06-13,375.0,call,0.32,0.37,0.34,0.37,39789,229,0.04415,0.50439,0,375.0
2022-06-13,2022-06-13,375.0,put,0.18,0.22,0.2,0.22,338672,8701,0.02463,-0.49271,0,375.0
2022-06-13,2022-06-13,376.0,call,0.04,0.06,0.05,0.06,65268,4,0.04415,0.12683,0,375.0
